Max Tile Size,Score
8,1525
7,1015
6,647
6,597
7,1319
7,1020
7,1209
6,562
6,546
6,626
7,1054
5,393
6,375
6,479
7,1105
5,248
6,553
8,1700
7,1416
7,1396
7,872
7,1074
6,827
7,1044
7,1164
6,476
6,567
6,567
6,734
7,1297
7,1474
7,1072
6,816
6,836
6,778
7,960
7,1479
7,961
7,945
6,554
8,1618
6,637
7,985
6,593
7,1184
6,720
7,1180
7,1210
7,1180
6,580
6,692
7,932
6,588
7,1215
5,244
7,1467
5,293
6,582
6,555
7,1250
6,907
6,634
6,529
6,659
7,1185
6,687
6,733
6,799
6,1053
7,994
6,530
7,750
6,434
6,517
7,1280
7,981
7,1259
7,1280
7,943
7,876
6,770
6,546
6,734
7,1252
6,562
7,1240
7,977
5,401
5,376
6,618
7,1366
6,583
6,793
6,568
6,554
6,643
6,659
7,1227
7,1264
7,948
